rpa;categoria;equipe;cartao_amarelo;cartao_vermelho
5;Sub 17;escolinha modelo  10;7;2
3;Sub 15;CR UNIÃO CLUBE;0;0
5;Sub 15;escolinha modelo  10;6;0
6;Sub 17;Jovem IABV F.C;7;0
2;Aberto Masculino;fora de forma futebol clube;2;0
2;Sub 17;ATLÉTICO DE SANTANA F.C.;3;0
2;Aberto Masculino;ATLETICO DE  SALGADINHO;0;0
2;Sub 15;ATLÉTICO DE SANTANA F.C.;4;0
1;Sub 15;MILAN DOS COELHOS;3;1
3;Sub 17;CR UNIÃO CLUBE;1;0
3;Aberto Masculino;fagundes futebol clube;8;1
1;Sub 17;Escolinha Isaú Futebol clube;4;2
5;Aberto Masculino;Millan;13;1
2;Aberto Masculino;Garotinho da Vila;4;3
5;Aberto Masculino;Levantou poeira futebol clube;6;1
5;Aberto Masculino;Portuguesa do Toto Futebol Clube;13;0
1;Aberto Masculino;SANTOS FUTEBOL CLUBE DO COQUE;6;1
3;Sub 15;Elosport Futebol clube;2;0
5;Aberto Masculino;Geração sub 20;2;0
3;Sub 15;Formoso F.C;1;1
3;Sub 15;projeto de futebol revelação;0;0
6;Sub 15;Mogi Mirim;0;1
6;Aberto Masculino;parma atlético clube;6;1
1;Sub 15;escolinha isau Futebol Clube;2;0
3;Sub 17;Elosport Futebol Clube;6;2
2;Aberto Masculino;Brasileirinho F.CLube;0;0
5;Aberto Masculino;Azulzinho F. C.;5;1
4;Aberto Masculino;Revelação;18;2
2;Aberto Masculino;AZULÃO FUTEBOL CLUBE;3;0
2;Aberto Masculino;EXPRESSINHO FC;0;0
2;Sub 15;BRAGA FUTEBOL CLUBE;5;1
5;Sub 15;Átomo Esporte Clube;4;0
2;Sub 15;real madry;5;1
3;Aberto Masculino;Doze de Julho;5;1
2;Sub 17;Real Madry;2;0
4;Aberto Masculino;Villa F.C;3;0
4;Aberto Masculino;Red bull Nobre;0;0
6;Aberto Masculino;Flamengo Clube Jordão;10;3
6;Aberto Masculino;os amigos da ur 1;1;0
6;Aberto Masculino;furacao da imbiriberia;4;2
5;Sub 15;Escolinha Modelo de Futebol;2;0
6;Sub 17;Mogi Mirim;7;0
1;Aberto Masculino;Aliança FC;0;0
4;Aberto Masculino;oz  desandados;6;1
2;Sub 15;PEREIRINHA F.C.;4;0
2;Aberto Masculino;BRAGA FUTEBOL CLUBE;4;2
5;Aberto Masculino;Escolinha Isaú Futebol clube;6;1
1;Aberto Masculino;Hangover;1;0
1;Sub 17;Clube Ferroviario do Recife;1;0
5;Aberto Masculino;Toma Tudo Futebol Clube Mustardinha;2;0
2;Sub 17;BRAGA FUTEBOL CLUBE;5;0
2;Aberto Masculino;ESCOLINHA DE PASSARINHO;5;0
5;Aberto Masculino;Corinthians do uchoa;5;1
6;Veterano;verde kawasaki;0;0
4;Aberto Masculino;EGRESSO FUTEBOL CLUBE;5;0
4;Sub 15;GERAÇÃO FUTURO UR 07;3;0
3;Aberto Masculino;Avaí­ Futebol Clube Da Guabiraba;3;0
3;Aberto Feminino;Clube Nautico Capibaribe A;0;0
6;Aberto Masculino;penharol;8;2
6;Sub 15;E.P.F.A;2;1
3;Aberto Masculino;Fortaleza;7;0
6;Sub 17;Associação atlética Portuguesa Ibura;4;0
5;Aberto Masculino;vasco da gama futebol club;3;0
2;Aberto Masculino;PEREIRINHA F.C.;2;0
5;Aberto Masculino;Cruz De Malta Futebol Club;5;0
3;Aberto Masculino;Confianca Futebol Clube;9;0
4;Aberto Masculino;Tubaraozinho F.C;3;0
3;Aberto Masculino;escolinha do formoso;2;0
5;Aberto Masculino;AMIZADE.F.C;3;1
6;Sub 15;Escolinha estrela do amanhã;4;1
4;Aberto Masculino;Mancha Futebol Clube;9;1
3;Aberto Masculino;Juventus do união da Macaxeira;0;0
1;Aberto Feminino;BARREIRENSE FUTEBOL CLUBE;0;0
6;Sub 17;E.P.F.A;8;3
6;Sub 17;Escolinha estrela do amanhã;0;0
6;Sub 15;Criança no Esporte Criança Feliz;0;0
6;Sub 17;escolinha oceania;7;0
3;Aberto Masculino;B.7 f.c;3;0
5;Aberto Masculino;Grêmio Esportivo Real da Mustardinha;5;0
5;Aberto Masculino;Real Totó;4;0
3;Sub 17;escolinha do formoso;3;0
6;Aberto Masculino;associação atletica portuguesa ibura;3;0
6;Aberto Masculino;ajax de boa viagem;3;1
2;Sub 15;Escolinha Waldomiro Silva B;4;0
4;Aberto Masculino;Porto Torrões Futebol Clube;9;0
2;Sub 17;Grêmio Esportivo Da Campina;9;3
2;Aberto Masculino;Gremio Esportivo Da Campina;0;0
6;Sub 17;Criança no Esporte Criança Feliz;3;0
6;Aberto Masculino;BOCA DE ALLCO;0;0
5;Aberto Masculino;pé de chumbo;8;0
4;Sub 15;GAROTO REVELAÇÃO FUTEBOL CLUBE;7;0
2;Aberto Masculino;Juventus Sport Club do Recife;6;1
6;Sub 17;Escolinha  Ricardo Rocha;0;1
4;Aberto Masculino;Pega Laço F.C;1;1
1;Aberto Masculino;Palmeiras Futebol Clube de Afogados;4;0
6;Aberto Masculino;PAN VALE DO JORDÃO;7;2
6;Sub 15;Escolinha  Ricardo Rocha;4;1
6;Sub 15;Jovem IABV F.C Nautico IPSEP;9;2
1;Sub 17;Milan dos Coelhos 1;1;1
1;Aberto Feminino;Revelacao FCF;0;0
6;Aberto Masculino;CRUZEIRO JORDAO ALTO;9;0
4;Sub 17;GAROTO REVELAÇÃO FUTEBOL CLUBE;1;1
5;Sub 15;elite campo e salão;3;1
4;Aberto Masculino;santos iputinga;5;0
5;Sub 17;elite campo e salão;5;1
5;Aberto Masculino;Penharol Futebol Clube;8;1
3;Sub 15;Instituto de Discipulado e Evangelismo IDE;7;0
6;Sub 15;quadra esporte vida;0;0
5;Sub 15;Cruz De Malta Sport Club;2;0
4;Aberto Feminino;CODIFF;0;0
4;Aberto Masculino;celebridade;6;0
3;Aberto Masculino;Elosport Futebol Clube;10;2
1;Aberto Masculino;espada D'agua;1;0
4;Sub 17;PSV DA BREGA;5;1
4;Aberto Masculino;PSV DA BREGA;1;0
5;Aberto Masculino;MIAMI FC;2;0
6;Sub 17;quadra esporte vida;0;0
1;Aberto Masculino;BELENENSE FUTEBOL CLUB DOS COELHOS;0;0
5;Aberto Masculino;Canto do Rio Futebol Clube;3;0
4;Veterano;AJAX F.C;0;0
4;Aberto Masculino;Atlético do Caiara Milan;7;1
5;Aberto Masculino;Gut Gut fc;4;0
1;Sub 15;Associação Ajacc;2;1
5;Aberto Masculino;Lazio da Mustardinha;9;0
5;Aberto Masculino;vila real;6;1
3;Aberto Feminino;Clube Nautico Capibaribe B;0;0
6;Aberto Masculino;chelse fc;10;2
3;Aberto Masculino;Academia de Futebol do Recife;6;0
1;Sub 15;geração futuro;2;0
3;Sub 17;BANERGE;3;0
1;Aberto Masculino;Palmeirinha;0;0
5;Aberto Masculino;Desacreditados FC;1;0
2;Aberto Masculino;FLAMENGO FUTEBOL CLUBE;0;0
1;Sub 17;UNIÃO FC;2;1
4;Aberto Masculino;talentos do xv;3;0
1;Aberto Masculino;Futebol e Resenha;0;0
5;Aberto Masculino;Agrestina Futebol Club;6;1
2;Aberto Feminino;INTERNACIONAL FUTEBOL FEMININO;0;0
2;Sub 17;FLAMENGO FUTEBOL CLUBE;5;1
3;Sub 15;banerge fc;0;0
1;Veterano;INDEPENDENTE FUTEBOL CLUBE;0;0
1;Aberto Masculino;microcamp;6;0
1;Sub 15;UNIÃO FC;3;0
1;Sub 15;associação ajacc;2;1
4;Sub 17;Santa Cruz da Torre;4;0
3;Aberto Masculino;Internacional F.Clube;8;0
3;Aberto Masculino;fluminense alto do elcalipito;4;2
2;Aberto Masculino;CORINTHIANS DO ALTO DO CAPITAO FC;0;0
3;Aberto Masculino;CLUB REAL FERNANDINHO;3;1
6;Aberto Masculino;Dinamite Futebol Clube;6;0
4;Sub 17;CDV VÁRZEA;0;0
4;Sub 15;CDV VÁRZEA;4;0
4;Aberto Masculino;Real Colônia Futebol Clube;5;0
4;Aberto Masculino;Boca jr iputinga;3;0
4;Aberto Masculino;OS MOLEQUES DA VÃRZEA;0;0
4;Aberto Masculino;Cruzeiro Esporte Clube Torrões;0;0
4;Aberto Masculino;Santa Cruz da Torre;8;1
6;Sub 15;escolinha de futebol do elias;0;0
5;Sub 15;PROJAC Projeto Jovem Atleta Cidadão;0;0
5;Aberto Masculino;Brazinha F.C;6;2
5;Aberto Masculino;Fluminense de Afogados;6;0
5;Aberto Masculino;santos futebol clube da colina;9;0
5;Aberto Masculino;MATONENSSE;4;0
6;Sub 17;ESCOLINHA DE FUTEBOL ELIAS;0;0
6;Aberto Masculino;sport imbiribeira;8;2
6;Aberto Masculino;Porto Rico Futebol Clube;7;2
5;Sub 17;PROJAC Projeto Jovem Atleta Cidadão;4;0
3;Aberto Feminino;Ceaare;0;0
6;Aberto Masculino;cobra verde  fc jordao;2;0
6;Aberto Masculino;Central F.C;9;1
4;Veterano;pega laço futebol clube;0;0
6;Aberto Masculino;União F.C;0;0
5;Veterano;Arsenal;0;0
2;Sub 15;Internacional Futebol Clube;4;0
2;Aberto Masculino;Juventude Futebol Clube Dois Unidos;1;0
2;Sub 17;Internacional Futebol Clube;7;0
3;Veterano;uniao esporte clube da macaxeira master;0;0
4;Aberto Feminino;Guararapes;0;0
6;Veterano;cobra verde jordao;0;0
6;Aberto Masculino;Porto Fcj;0;0
6;Veterano;revelacao futibol club;0;0
2;Aberto Masculino;J.B II F.C.;1;0
4;Veterano;adriel ferreira de lima;0;0
3;Veterano;cruzeirense futebol clube;0;0
5;Veterano;Garotos Da Vila;0;0
